D:\Data_Here\Pieter_Vermeesch\20260217_Morocco_as_apatite_c.b\A #7.d
Intensity Vs Time,CPS
Acquired      : 2026-02-17 17:44:39 using Batch 20260217_Morocco_as_apatite_c.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4289,11404.40,2500.21,20.00,28.99,83.33,0.00,0.00
0.8289,13406.08,2200.17,0.00,7.25,0.00,0.00,0.00
1.2289,12605.37,2100.15,10.00,0.00,50.00,50.00,0.00
1.6289,14006.63,8902.70,10.00,0.00,16.67,0.00,0.00
2.0289,17009.78,1800.11,20.00,7.25,66.67,50.00,20.00
2.4289,14006.63,2000.14,10.00,7.25,0.00,0.00,0.00
2.8289,12605.37,2800.27,20.00,21.74,33.33,0.00,0.00
3.2289,14206.82,1200.05,20.00,7.25,0.00,0.00,0.00
3.6289,12805.55,3400.39,20.00,14.49,33.33,0.00,0.00
4.0289,9803.25,2500.21,0.00,14.49,33.33,50.00,20.00
4.4289,9803.25,2700.25,10.00,7.25,16.67,0.00,20.00
4.8290,10403.66,1700.10,10.00,21.74,66.67,0.00,0.00
5.2290,12205.04,2500.21,0.00,14.49,0.00,0.00,0.00
5.6290,11404.40,2000.14,20.00,7.25,66.67,0.00,0.00
6.0290,11804.71,1800.11,0.00,7.25,33.33,0.00,0.00
6.4290,10203.52,3300.37,10.00,7.25,33.33,0.00,0.00
6.8290,54299.55,5701.11,490.01,1087.00,5134.33,16610.61,4940.94
7.2290,3340302.73,256219.41,3030.35,2195.83,5050.97,24372.83,8042.50
7.6290,3776143.00,355457.30,1680.11,862.35,2616.93,30335.35,8222.61
8.0290,6081631.51,366217.29,1440.08,833.36,1633.43,33543.22,8642.88
8.4290,5706048.06,356993.97,1050.04,637.70,1466.75,33342.71,8602.86
8.8290,3666630.93,439077.69,1080.04,550.74,1633.43,27779.65,7962.45
9.2290,4171786.70,433721.78,1110.05,536.24,1233.39,25374.74,7041.91
9.6290,6528443.73,390430.20,850.03,543.49,1833.46,33844.00,7762.33
10.0290,5966434.05,508466.60,1190.05,471.02,1533.42,24773.58,7822.36
10.4291,4922680.50,351667.53,1020.04,449.28,1483.42,27178.38,7181.99
10.8291,7006835.95,349209.84,910.03,652.19,1500.09,26977.97,7202.00
11.2291,4802194.87,361502.42,940.03,492.76,1400.07,29683.85,7262.04
11.6291,8322842.81,374420.63,780.02,384.06,1600.10,31437.97,7722.30
12.0291,8752971.27,385194.41,960.03,543.49,1650.10,29182.72,6261.51
12.4291,3381839.96,376369.60,910.03,492.76,1350.07,29633.74,7001.89
12.8291,4360521.85,436296.48,740.02,471.02,1666.77,22269.06,6481.62
13.2291,5812258.13,412625.78,640.02,456.53,1433.41,29433.29,7582.22
13.6291,4948153.04,418694.24,760.02,478.27,1200.05,23471.17,6561.66
14.0291,3831333.51,312392.99,860.03,536.24,1516.75,21868.38,6921.85
14.4291,4698268.89,479515.28,750.02,449.28,1266.73,26727.45,7602.23
14.8291,5876237.41,342453.22,870.03,442.04,1733.45,24523.11,6801.79
15.2291,4018678.35,319749.07,770.02,463.78,1616.77,28180.51,7762.33
15.6291,4785362.14,340611.04,790.02,492.76,1283.40,23871.90,7282.05
16.0292,4163544.12,384475.93,730.02,471.02,1550.09,24723.49,7942.43
16.4292,6309072.02,348185.89,810.02,434.79,1250.06,22970.28,6761.76
16.8292,4037844.82,350336.23,740.02,413.05,1200.05,23421.08,5781.29
17.2292,3606996.38,313618.75,620.01,376.82,1050.04,24473.01,6761.76
17.6292,3484673.56,353715.92,670.02,413.05,1283.40,23170.63,7622.24
18.0292,3993081.67,307490.99,890.03,405.80,1200.05,27679.44,6241.50
18.4292,5184084.39,396900.49,600.01,405.80,1283.40,26176.33,5201.04
18.8292,3779072.59,356071.95,650.02,413.05,1283.40,23921.99,6601.68
19.2292,5592315.39,330994.51,630.02,420.30,1100.05,19815.09,5241.06
