task,action
top,r
format,a
dir|file,d
loadICPdir,data
top,m
method,3
columns,"7,3,4"
top,v
view,0
t0,S
t0all,7
view,r
setDen,2
view,g
goto,8
view,s
Swin,s
oneSingleSignalWindow,"10,30"
view,n
view,s
Swin,s
oneSingleSignalWindow,"10,30"
view,g
goto,31
view,s
Swin,s
oneSingleSignalWindow,"10,30"
view,n
view,s
Swin,s
oneSingleSignalWindow,"10,30"
view,g
goto,38
view,s
Swin,s
oneSingleSignalWindow,"11,18"
view,g
goto,40
view,s
Swin,s
oneSingleSignalWindow,"10,30"
view,x
top,f
fractionation,a
chooseStandard,7
addStandardGroup,p
addStandardsByPrefix,MAD
fractionation,x
top,p
top,e
export,j
json,json/all.json
