D:\Data_Here\Pieter_Vermeesch\20260217_Morocco_as_apatite_c.b\B #14.d
Intensity Vs Time,CPS
Acquired      : 2026-02-17 18:08:41 using Batch 20260217_Morocco_as_apatite_c.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4347,10603.80,2300.18,20.00,14.49,16.67,0.00,0.00
0.8347,15207.82,2000.14,30.00,14.49,33.33,0.00,0.00
1.2347,11804.71,1700.10,10.00,21.74,16.67,100.00,0.00
1.6347,11604.55,3100.33,10.00,7.25,0.00,50.00,0.00
2.0347,11404.40,1700.10,0.00,14.49,33.33,50.00,0.00
2.4347,14006.63,1800.11,20.00,7.25,50.00,0.00,0.00
2.8347,12605.37,1800.11,10.00,21.74,0.00,0.00,20.00
3.2347,14807.41,2300.18,10.00,0.00,33.33,0.00,0.00
3.6347,12605.37,2700.25,10.00,7.25,0.00,0.00,0.00
4.0348,10603.80,1700.10,0.00,0.00,0.00,0.00,0.00
4.4348,16208.88,1500.08,0.00,7.25,66.67,0.00,0.00
4.8348,10603.80,1700.10,0.00,21.74,33.33,0.00,0.00
5.2348,12004.87,1800.11,0.00,7.25,16.67,0.00,0.00
5.6348,11604.55,1500.08,0.00,14.49,16.67,0.00,0.00
6.0348,9803.25,1300.06,20.00,14.49,0.00,0.00,0.00
6.4348,11404.40,1500.08,10.00,14.49,16.67,0.00,40.00
6.8348,12205.04,2700.25,630.02,2797.40,14407.87,2800.30,9263.31
7.2348,22016.38,43063.15,10414.11,7937.17,17912.16,4750.87,15909.77
7.6348,20013.54,68559.92,9673.54,7081.61,16577.08,4750.87,20376.01
8.0348,19212.48,85247.11,8102.49,5899.87,14007.43,4150.66,19194.21
8.4348,16809.55,88868.52,7031.87,5196.68,11855.33,3800.56,20075.55
8.8348,14807.41,91585.16,6501.60,5566.39,11972.10,3850.57,18733.54
9.2348,17009.78,85951.20,6361.53,4805.22,11888.69,3500.47,19674.93
9.6348,17210.01,99234.70,6961.83,4710.99,10871.15,3350.43,20355.98
10.0349,14407.02,88063.68,6571.64,4616.75,11021.27,3350.43,18112.66
