D:\Data_Here\Pieter_Vermeesch\20260217_Morocco_as_apatite_c.b\GLASS #6.d
Intensity Vs Time,CPS
Acquired      : 2026-02-17 18:33:05 using Batch 20260217_Morocco_as_apatite_c.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4287,11004.09,1600.09,10.00,14.49,16.67,0.00,0.00
0.8287,9402.99,1700.10,20.00,7.25,33.33,0.00,0.00
1.2287,12405.20,1700.10,10.00,0.00,33.33,0.00,0.00
1.6287,12004.87,2100.15,10.00,21.74,66.67,0.00,0.00
2.0287,13406.08,2200.17,20.00,7.25,33.33,0.00,0.00
2.4287,11004.09,3100.33,10.00,7.25,50.00,0.00,0.00
2.8287,12605.37,2000.14,10.00,7.25,33.33,0.00,20.00
3.2287,14607.21,1500.08,30.00,0.00,16.67,0.00,0.00
3.6287,10803.95,1600.09,20.00,14.49,33.33,0.00,0.00
4.0287,13005.72,2200.17,10.00,28.99,116.67,0.00,0.00
4.4287,11204.24,1400.07,20.00,7.25,50.00,0.00,0.00
4.8287,12605.37,2100.15,20.00,14.49,33.33,0.00,0.00
5.2287,13005.72,1500.08,20.00,14.49,16.67,0.00,0.00
5.6288,9603.12,1900.12,20.00,14.49,0.00,0.00,40.00
6.0288,13205.90,2500.21,20.00,0.00,33.33,0.00,0.00
6.4288,14006.63,1800.11,30.00,28.99,50.00,0.00,800.02
6.8288,11004.09,2100.15,2860.31,4058.60,12455.88,18913.75,20396.05
7.2288,10203.52,51891.67,7352.05,6972.86,17061.03,26226.43,31558.40
7.6288,14407.02,74287.73,8402.67,6943.86,15926.28,32741.18,32881.68
8.0288,16609.33,72277.72,8342.63,7277.37,18579.74,31939.19,33362.91
8.4288,11604.55,91082.04,7722.26,7784.90,17044.34,26827.66,32280.17
8.8288,14407.02,77604.85,8102.49,7422.38,17628.44,31688.58,36270.71
9.2288,14206.82,76298.01,7942.39,7204.86,17111.09,30986.89,31257.67
9.6288,14206.82,67354.36,7722.26,7284.62,17978.91,29984.54,36752.07
10.0288,16609.33,78610.18,8412.68,7074.36,15375.62,27829.76,30956.95
10.4288,13806.45,62231.79,7181.95,7966.17,18329.39,31488.09,33062.14
10.8288,16008.66,65244.85,7782.29,7328.12,16143.21,30485.71,30395.63
11.2289,13406.08,61127.16,6881.79,6653.85,15842.84,28531.28,30255.30
11.6289,10803.95,65646.64,7962.40,7393.37,16426.89,28030.19,30074.88
12.0289,14206.82,74488.75,7221.97,6479.85,15509.11,28380.95,30616.14
12.4289,14407.02,71172.33,6821.76,6044.86,14341.13,28681.61,34084.79
12.8289,15408.03,73986.21,7221.97,6581.35,16660.52,26577.14,28852.10
13.2289,12405.20,74991.30,7362.05,7081.61,15125.33,25925.83,29012.46
13.6289,14807.41,70267.99,6561.63,5965.12,15192.08,25274.55,27088.30
14.0289,13005.72,63135.64,6911.81,6218.86,14074.17,24172.45,28190.64
14.4289,12205.04,55504.86,6761.73,6102.86,16076.46,23170.63,27228.59
14.8289,14206.82,54400.74,6411.56,5182.18,13924.01,23671.53,25925.92
15.2289,15408.03,64742.63,7121.92,5899.87,13256.66,22920.19,26406.89
15.6289,13005.72,57813.76,6171.44,5341.66,13440.18,22619.66,26867.84
16.0289,12805.55,56508.69,6391.55,5776.63,13857.28,25424.84,26346.77
16.4289,11604.55,52192.73,6521.61,5392.41,13957.38,21818.30,26446.97
16.8289,15408.03,54099.63,5241.04,5472.15,13039.78,22369.23,24282.74
17.2290,15207.82,51389.90,5621.20,5682.38,12889.63,22168.89,24783.69
17.6290,14407.02,56609.08,6161.44,4870.46,12806.21,22619.66,23320.98
18.0290,13205.90,55504.86,6361.53,5609.89,13039.78,22719.84,22158.94
18.4290,16208.88,50587.12,5661.21,4855.97,11855.33,19414.49,22599.70
18.8290,10003.38,51389.90,5561.17,5501.15,12505.93,21317.47,22739.94
19.2290,11004.09,51690.96,5681.22,4667.49,12289.06,19965.32,20956.94
19.6290,14206.82,45169.47,5481.14,4710.99,11071.31,20215.71,21638.06
20.0290,12405.20,48078.70,5431.12,5493.90,11922.05,21117.14,20896.84
20.4290,14607.21,45771.33,4800.87,4268.81,11755.24,19564.71,20756.62
20.8290,13606.26,47978.38,4790.87,4710.99,11054.63,21117.14,19354.45
21.2290,14206.82,45169.47,5010.95,4681.99,11838.64,22218.97,21858.43
21.6290,14006.63,45570.71,5060.97,4739.98,10237.30,17812.20,20956.94
22.0290,16208.88,42361.11,5211.03,4725.48,10537.54,17111.25,17832.27
22.4290,15808.45,41759.39,4520.77,4754.48,10821.10,19063.97,19394.51
22.8291,12405.20,44166.42,4730.85,4805.22,10854.46,18513.17,17451.75
23.2291,13806.45,40957.13,4620.81,3964.36,9119.82,18062.54,17251.48
23.6291,13005.72,42160.53,4420.74,4399.28,10037.15,18563.24,17872.32
24.0291,14006.63,43464.33,4130.65,4051.35,9369.99,18362.96,18813.65
24.4291,13205.90,37046.75,4480.76,3906.38,9520.10,17511.79,15869.72
24.8291,10803.95,38249.83,3670.51,3862.88,9119.82,17812.20,17291.53
25.2291,14807.41,36846.24,4300.70,4181.82,9553.46,16260.16,16290.24
25.6291,17610.48,38951.68,3930.59,3522.21,8202.55,15208.89,14307.90
26.0291,14407.02,37046.75,3570.48,3529.46,8986.39,16510.48,18453.14
26.4291,13205.90,36244.74,4020.61,3522.21,8052.46,15058.72,14367.97
26.8291,15408.03,33538.31,3480.46,3261.27,8669.51,15809.61,16590.62
27.2291,13205.90,34640.88,3450.45,3710.67,9403.35,13557.07,15349.09
27.6291,11604.55,41157.69,3870.57,3710.67,8285.93,14908.54,16490.49
28.0292,13606.26,36645.74,3920.58,2920.61,8102.49,14307.87,15569.35
28.4292,14607.21,38450.35,4180.66,3667.18,8519.42,15909.73,14988.67
28.8292,10403.66,32736.51,3870.57,3007.59,7352.05,15008.66,13286.81
29.2292,9402.99,32936.95,3560.48,3283.02,8002.43,14858.49,13947.50
29.6292,10603.80,32435.84,3920.58,3130.81,7552.16,14908.54,13967.53


          Printed:2026-02-17 18:33:38
