D:\Data_Here\Pieter_Vermeesch\20260217_Morocco_as_apatite_c.b\MAD #2.d
Intensity Vs Time,CPS
Acquired      : 2026-02-17 17:38:59 using Batch 20260217_Morocco_as_apatite_c.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4281,14407.02,1800.11,0.00,7.25,50.00,350.00,0.00
0.8281,15207.82,2700.25,10.00,14.49,16.67,350.00,0.00
1.2281,12405.20,3200.35,20.00,28.99,33.33,0.00,0.00
1.6281,13205.90,3100.33,20.00,7.25,33.33,200.00,0.00
2.0281,10603.80,2900.29,0.00,21.74,66.67,0.00,20.00
2.4281,11604.55,2900.29,0.00,36.23,50.00,100.00,0.00
2.8282,11004.09,2600.23,10.00,36.23,16.67,150.00,20.00
3.2282,12605.37,2700.25,10.00,14.49,16.67,0.00,40.00
3.6282,10003.38,3200.35,10.00,7.25,33.33,0.00,0.00
4.0282,10403.66,3300.37,10.00,0.00,33.33,50.00,0.00
4.4282,15408.03,2600.23,0.00,7.25,0.00,150.00,0.00
4.8282,11604.55,3100.33,10.00,0.00,16.67,0.00,0.00
5.2282,11804.71,3100.33,0.00,7.25,50.00,0.00,0.00
5.6282,10603.80,2700.25,10.00,28.99,16.67,0.00,0.00
6.0282,11804.71,2500.21,20.00,21.74,33.33,0.00,0.00
6.4282,14807.41,2600.23,30.00,14.49,0.00,950.03,380.01
6.8282,176244.48,26223.43,1520.09,1159.47,6985.18,116065.86,4920.93
7.2282,752057.03,63336.51,1260.06,485.52,4634.15,164737.29,8602.86
7.6282,1272731.25,125736.85,1160.05,347.83,8169.20,366546.07,16049.94
8.0282,1894005.16,202184.53,1350.07,268.12,10037.15,520464.89,23120.62
8.4283,3085280.98,375651.54,1460.08,231.89,11371.57,554270.17,26426.93
8.8283,3258673.02,306469.95,1850.13,275.37,13873.96,626439.31,30796.57
9.2283,3907403.56,323428.44,1590.10,289.86,13456.86,667404.35,30916.85
9.6283,3780413.25,358633.23,1700.11,217.39,13173.24,665458.30,29934.55
10.0283,4024885.11,440623.00,2070.16,311.60,15425.68,678349.66,30195.15
10.4283,3961600.98,392792.04,2170.18,434.79,13406.81,669245.46,31859.13
10.8283,7933678.98,329665.06,1740.11,297.10,14140.91,577499.32,29734.09
11.2283,4879431.79,355662.16,2060.16,239.13,15175.39,708653.91,27549.27
11.6283,5845973.25,395873.27,1720.11,246.38,13857.28,682877.73,28371.04
12.0283,5162162.11,345114.55,1870.13,304.35,12639.39,633258.06,27268.67
12.4283,4218809.11,352282.01,2090.17,347.83,16009.71,800512.50,31939.33
12.8283,4274868.56,435060.55,2160.18,311.60,13673.75,628641.89,31137.38
13.2283,6274438.30,296875.54,1910.14,304.35,13056.46,655889.89,31478.20
13.6283,4598414.54,370933.67,2090.17,253.63,12872.95,666773.14,27088.30
14.0284,3973865.54,492019.48,1790.12,347.83,15609.23,627855.22,27048.21
