D:\Data_Here\Pieter_Vermeesch\20260217_Morocco_as_apatite_c.b\A #21.d
Intensity Vs Time,CPS
Acquired      : 2026-02-17 17:53:31 using Batch 20260217_Morocco_as_apatite_c.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4300,14006.63,1700.10,0.00,14.49,16.67,0.00,0.00
0.8300,10803.95,2700.25,10.00,7.25,66.67,0.00,0.00
1.2300,12205.04,2200.17,10.00,28.99,16.67,0.00,20.00
1.6300,13205.90,2200.17,10.00,21.74,33.33,0.00,0.00
2.0300,12004.87,2300.18,0.00,7.25,33.33,0.00,0.00
2.4300,11604.55,1800.11,30.00,28.99,0.00,0.00,0.00
2.8300,11004.09,2200.17,10.00,36.23,33.33,0.00,20.00
3.2300,8802.62,2700.25,0.00,7.25,16.67,0.00,20.00
3.6300,13205.90,1800.11,30.00,7.25,66.67,50.00,0.00
4.0300,10603.80,1200.05,0.00,7.25,83.33,0.00,0.00
4.4301,12004.87,1400.07,20.00,21.74,33.33,0.00,0.00
4.8301,10803.95,2000.14,30.00,21.74,0.00,0.00,0.00
5.2301,9402.99,2000.14,20.00,7.25,0.00,0.00,0.00
5.6301,11004.09,1600.09,0.00,7.25,33.33,0.00,0.00
6.0301,11404.40,1700.10,10.00,21.74,0.00,0.00,20.00
6.4301,11804.71,1800.11,10.00,0.00,16.67,0.00,0.00
6.8301,11004.09,1800.11,30.00,72.46,2383.55,750.02,400.01
7.2301,211096.66,20414.20,4020.61,2898.87,5801.28,21868.38,6561.66
7.6301,4219659.77,401215.58,2370.21,1043.52,3167.05,32791.31,8502.79
8.0301,5950718.53,401010.06,1400.07,905.83,2000.15,29583.62,8382.71
8.4301,3913808.93,367550.02,940.03,623.20,1700.11,32841.43,9503.49
8.8301,5791701.35,446702.93,960.03,608.71,1700.11,32290.05,8302.66
9.2301,6426156.33,400804.57,930.03,557.98,1366.74,30585.94,8642.88
9.6301,4987925.95,362014.84,840.03,376.82,1616.77,32390.30,9243.30
10.0302,5720373.26,370420.95,920.03,514.50,1566.76,30736.30,7842.37
10.4302,4507423.44,459592.24,870.03,478.27,1666.77,31588.33,8322.67
10.8302,8346056.10,469498.78,810.02,521.75,1650.10,31738.70,8802.99
11.2302,5355912.33,425176.86,810.02,427.54,1483.42,28831.94,8062.51
11.6302,4846387.00,425794.38,1010.04,543.49,1600.10,32590.81,7822.36
12.0302,4764730.87,380370.90,700.02,398.56,1316.73,30185.01,8042.50
12.4302,5460607.95,379550.02,760.02,355.08,1716.78,28631.50,7722.30
12.8302,5537174.54,510329.69,920.03,427.54,1416.74,29884.31,7902.41
13.2302,3832177.63,352998.95,920.03,398.56,1216.72,28631.50,7602.23
13.6302,4787025.55,376472.19,740.02,442.04,1333.40,27278.59,6921.85
14.0302,5682561.68,344705.08,940.03,427.54,1300.06,26577.14,7202.00
14.4302,5684920.25,389403.42,710.02,318.84,1650.10,26977.97,7462.15
14.8302,4631881.39,388890.06,830.03,434.79,1100.05,24322.73,6721.74
15.2302,11506116.12,379960.45,710.02,420.30,1566.76,29683.85,6821.80
15.6302,5934208.55,315559.74,680.02,521.75,1566.76,26627.24,7782.34
16.0303,5962213.45,348800.24,790.02,369.57,1300.06,23270.81,6461.61
16.4303,4397191.38,364679.66,600.01,500.01,1383.41,29583.62,7742.31
16.8303,5162757.96,387760.72,760.02,449.28,1466.75,25675.33,7081.94
17.2303,4601219.99,354432.93,640.02,442.04,1266.73,27980.08,6861.82
17.6303,6416895.85,434751.61,660.02,478.27,1266.73,25725.43,5681.25
18.0303,4279610.53,344602.71,540.01,384.06,1366.74,22669.75,6061.42
18.4303,4438304.96,331710.42,580.01,355.08,1300.06,23721.62,5561.19
18.8303,7067413.93,347162.04,730.02,391.31,1300.06,23921.99,6801.79
19.2303,4160564.87,345114.55,660.02,289.86,1083.38,26527.04,6081.43
19.6303,4113865.21,350848.24,770.02,362.32,1116.71,22168.89,6441.60
20.0303,3954922.51,339997.05,590.01,463.78,1383.41,23020.36,6841.81
20.4303,4539053.09,392073.17,510.01,355.08,983.37,19965.32,5741.27
20.8303,3983299.81,314946.75,510.01,463.78,1100.05,23270.81,5541.19
21.2303,4010932.31,354125.63,590.01,297.10,1266.73,19664.86,5321.09
21.6304,3901420.24,412214.45,460.01,311.60,850.03,20816.65,6461.61
22.0304,6301797.69,314129.52,620.01,391.31,1050.04,21968.55,5221.05
22.4304,3732596.37,354842.65,570.01,268.12,900.03,21567.88,5561.19
22.8304,3849705.52,308614.23,650.02,376.82,1300.06,22168.89,5841.32
23.2304,4228963.37,327619.97,640.02,369.57,1100.05,20015.40,5241.06
23.6304,3712635.43,337438.96,690.02,304.35,850.03,22118.80,5161.03
24.0304,3606425.36,323121.80,500.01,340.58,1200.05,19164.12,5020.97
24.4304,3428688.59,286981.42,390.01,355.08,1100.05,19614.79,5461.15
