D:\Data_Here\Pieter_Vermeesch\20260217_Morocco_as_apatite_c.b\B #23.d
Intensity Vs Time,CPS
Acquired      : 2026-02-17 18:14:24 using Batch 20260217_Morocco_as_apatite_c.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4287,14407.02,2100.15,0.00,36.23,0.00,50.00,0.00
0.8287,16008.66,2000.14,20.00,0.00,0.00,50.00,20.00
1.2287,15207.82,1400.07,40.00,7.25,33.33,0.00,20.00
1.6287,14407.02,1400.07,10.00,0.00,33.33,0.00,0.00
2.0287,13205.90,1500.08,20.00,28.99,0.00,0.00,40.00
2.4287,13606.26,2400.20,10.00,0.00,0.00,0.00,0.00
2.8287,16409.10,1500.08,0.00,0.00,33.33,0.00,0.00
3.2287,13406.08,1300.06,20.00,0.00,33.33,0.00,0.00
3.6287,14407.02,1900.12,10.00,14.49,50.00,0.00,0.00
4.0287,14206.82,2000.14,30.00,7.25,16.67,0.00,20.00
4.4288,16609.33,1600.09,0.00,21.74,33.33,0.00,0.00
4.8288,14006.63,1900.12,0.00,0.00,33.33,0.00,0.00
5.2288,14807.41,1700.10,10.00,0.00,16.67,0.00,0.00
5.6288,12205.04,1400.07,0.00,14.49,16.67,0.00,20.00
6.0288,15808.45,1900.12,0.00,14.49,50.00,50.00,0.00
6.4288,13406.08,1700.10,0.00,14.49,633.35,250.00,260.00
6.8288,188190.39,17210.10,2260.19,1587.05,3450.45,6051.41,1780.12
7.2288,1320021.00,127350.70,1370.07,898.58,2333.54,22669.75,6541.65
7.6288,6487752.22,398441.46,1190.05,855.10,2016.82,33142.20,7882.40
8.0288,4460599.64,462584.13,1230.06,956.56,2450.23,33442.97,7962.45
8.4288,4895246.62,438356.54,1170.05,623.20,2183.51,32540.68,7962.45
8.8288,4676619.71,410466.41,900.03,637.70,1933.48,28481.17,8582.84
9.2288,6222847.71,540585.60,1160.05,789.88,1883.47,28330.84,8042.50
9.6288,6741261.11,429397.22,1180.05,673.93,2083.50,30185.01,7782.34
10.0288,9547213.08,597324.90,1300.06,702.92,1633.43,27929.97,7322.07
