D:\Data_Here\Pieter_Vermeesch\20260217_Morocco_as_apatite_c.b\GLASS #5.d
Intensity Vs Time,CPS
Acquired      : 2026-02-17 18:32:27 using Batch 20260217_Morocco_as_apatite_c.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4286,13606.26,2000.14,10.00,14.49,100.00,0.00,0.00
0.8286,10803.95,1900.12,50.00,14.49,16.67,0.00,0.00
1.2286,15207.82,1700.10,10.00,14.49,16.67,50.00,0.00
1.6286,10803.95,1800.11,10.00,0.00,0.00,0.00,40.00
2.0287,9803.25,2300.18,30.00,14.49,50.00,0.00,20.00
2.4287,9202.86,2700.25,0.00,14.49,16.67,0.00,20.00
2.8287,12405.20,2700.25,10.00,7.25,66.67,0.00,0.00
3.2287,13005.72,1800.11,30.00,0.00,0.00,0.00,0.00
3.6287,16208.88,3100.33,20.00,21.74,33.33,0.00,0.00
4.0287,10003.38,1800.11,20.00,14.49,33.33,0.00,40.00
4.4287,11204.24,1600.09,10.00,7.25,50.00,0.00,0.00
4.8287,9803.25,1300.06,40.00,36.23,16.67,0.00,0.00
5.2287,11004.09,1700.10,40.00,0.00,66.67,0.00,0.00
5.6287,11204.24,1700.10,20.00,7.25,16.67,0.00,0.00
6.0287,12405.20,2500.21,10.00,14.49,0.00,0.00,0.00
6.4287,10803.95,2400.20,10.00,14.49,516.68,400.01,880.03
6.8287,11204.24,5200.92,4190.66,5435.90,15692.66,21016.98,25945.96
7.2287,14607.21,64441.31,7472.11,7596.39,17194.53,28982.27,34566.06
7.6288,15408.03,65847.53,7081.90,7436.88,17227.91,29383.17,33202.50
8.0288,15808.45,76901.15,7742.27,7879.16,18780.03,34245.05,36009.99
8.4288,14807.41,76901.15,7912.37,7400.63,18296.01,31387.85,35789.38
8.8288,14807.41,67655.74,7612.19,6501.60,18312.70,30886.65,31558.40
9.2288,12605.37,77504.31,7942.39,7255.62,18279.33,32340.18,35809.43
9.6288,13406.08,79615.58,8042.45,7212.11,16593.77,30285.24,30756.47
10.0288,14206.82,76599.57,7692.24,7589.14,16109.83,33693.61,31738.84
10.4288,14206.82,75192.32,8002.42,7161.36,17061.03,29132.61,33262.66
10.8288,15207.82,62733.93,7802.30,6545.10,17695.20,26927.86,29152.77
11.2288,13806.45,71373.30,7071.89,6907.60,15625.92,27479.01,31678.69
11.6288,12205.04,63939.12,8222.56,7364.37,15058.59,25975.93,28090.43
12.0288,12605.37,60524.67,6841.77,6537.85,16977.59,28831.94,31277.72
12.4288,18811.96,63939.12,6641.67,6378.35,15842.84,26176.33,29012.46
12.8288,10803.95,63336.51,7131.93,6559.60,16009.71,27028.07,27890.00
13.2289,14206.82,57914.15,6241.47,6182.61,14858.36,27679.44,30014.74
13.6289,15408.03,64240.43,7342.04,6160.86,15258.82,25825.63,28130.52
14.0289,13606.26,67153.44,7402.07,6740.85,14658.14,29683.85,29012.46
14.4289,12605.37,61328.00,7241.99,6240.61,14074.17,24473.01,24583.31
14.8289,14607.21,54099.63,6651.67,6052.11,14324.44,22218.97,25204.50
15.2289,13606.26,55806.01,6521.61,5479.40,12906.31,23421.08,25364.81
15.6289,13205.90,56910.24,5731.24,5762.13,12789.53,23120.54,26406.89
16.0289,11804.71,60424.26,6511.61,5595.39,11505.02,21918.46,23260.87
16.4289,13406.08,52895.25,5931.33,5943.37,13773.86,23020.36,24743.61
16.8289,13205.90,58717.34,5501.15,6168.11,11988.78,21818.30,24162.52
17.2289,13806.45,51289.56,5611.19,5276.42,13106.51,21567.88,22699.88
17.6289,12405.20,52895.25,5931.33,5356.16,12472.56,22018.63,21998.66
18.0289,12605.37,46373.22,5561.17,4797.97,12505.93,21317.47,20836.75
18.4289,14807.41,50185.75,5641.20,5776.63,12722.80,24573.21,23521.34
18.8289,16409.10,50486.77,5271.05,4877.71,11922.05,19865.17,22219.04
19.2290,15608.24,48279.36,5161.01,5116.93,12872.95,22569.58,22118.87
19.6290,14006.63,50386.43,5771.26,5000.95,11138.03,22168.89,19935.33
20.0290,13606.26,44467.33,5581.18,4935.71,11221.44,18413.03,20436.11
20.4290,13406.08,51791.31,5591.18,5066.19,11605.10,19164.12,20956.94
20.8290,16208.88,49583.70,4990.94,4826.97,12205.65,19714.94,21017.04
21.2290,13406.08,47878.05,4870.90,4334.04,10420.78,18463.10,19494.66
21.6290,11204.24,44768.24,4910.91,4558.76,11338.20,20466.10,22299.18
22.0290,14607.21,43564.63,5040.96,4660.24,10253.98,17812.20,18753.57
22.4290,12205.04,44868.55,4960.93,4036.85,9586.82,18112.61,19234.27
22.8290,13606.26,48680.69,3970.60,4065.84,10370.74,20215.71,18332.97
23.2290,16809.55,42561.69,4810.88,4218.07,10454.14,17161.32,18793.62
23.6290,12205.04,41358.25,4410.74,3899.13,9920.40,16260.16,18092.63
24.0290,14607.21,42962.85,4690.83,3826.64,9236.57,15258.95,16750.83
24.4290,13806.45,38149.57,4480.76,3812.14,8519.42,15509.25,15268.99
24.8291,12004.87,35442.79,4050.62,3978.86,8436.03,13857.38,17631.99
25.2291,10803.95,36445.24,3990.60,4044.10,9520.10,17712.06,15709.52
25.6291,12205.04,37548.02,4030.61,3775.90,8402.68,15108.78,15649.45
26.0291,16809.55,35442.79,3800.55,3427.98,7702.25,15258.95,15208.92
26.4291,12805.55,36344.99,3950.59,3362.75,8802.94,15108.78,15909.77
26.8291,12004.87,40355.46,4540.78,3551.20,8419.35,15158.83,15509.28
27.2291,15207.82,33037.18,3740.53,3565.70,7552.16,14257.82,14488.10
27.6291,15408.03,36244.74,3820.55,3565.70,9019.75,16360.29,15549.33
28.0291,9803.25,36044.25,3570.48,3326.51,7685.57,13807.33,13547.08
28.4291,13406.08,32034.96,3560.48,3210.54,7518.81,15008.66,14468.08
28.8291,13005.72,30331.34,3240.40,3188.79,7785.63,13707.22,13607.14
29.2291,14407.02,31934.74,3790.54,3196.04,7068.56,11154.78,14047.61
29.6291,14006.63,31634.09,3630.50,3043.83,7151.94,13156.65,13226.75


          Printed:2026-02-17 18:33:00
