D:\Data_Here\Pieter_Vermeesch\20260217_Morocco_as_apatite_c.b\MAD #6.d
Intensity Vs Time,CPS
Acquired      : 2026-02-17 18:16:20 using Batch 20260217_Morocco_as_apatite_c.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4287,13406.08,1500.08,50.00,21.74,33.33,0.00,0.00
0.8287,11804.71,2300.18,30.00,14.49,33.33,0.00,20.00
1.2287,15007.62,1400.07,20.00,7.25,50.00,0.00,0.00
1.6287,11204.24,600.01,0.00,7.25,16.67,0.00,0.00
2.0287,13205.90,1300.06,30.00,0.00,50.00,0.00,0.00
2.4287,10603.80,2000.14,0.00,21.74,0.00,0.00,20.00
2.8287,13606.26,2000.14,40.00,7.25,50.00,0.00,20.00
3.2287,12605.37,1700.10,20.00,14.49,66.67,0.00,0.00
3.6287,12405.20,2100.15,30.00,0.00,16.67,0.00,0.00
4.0287,11604.55,1500.08,10.00,7.25,16.67,0.00,0.00
4.4287,12004.87,1500.08,10.00,7.25,16.67,0.00,0.00
4.8287,12605.37,1600.09,0.00,36.23,66.67,0.00,0.00
5.2288,13205.90,1800.11,30.00,21.74,16.67,0.00,0.00
5.6288,13806.45,1600.09,0.00,7.25,33.33,0.00,0.00
6.0288,14206.82,1800.11,10.00,7.25,16.67,0.00,20.00
6.4288,11604.55,1800.11,10.00,14.49,50.00,250.00,360.00
6.8288,135619.30,17910.93,1640.10,1188.46,7969.07,77279.03,2900.32
7.2288,513362.35,43163.44,1250.06,391.31,4000.61,121414.39,7862.39
7.6288,1233614.55,112127.12,970.04,260.87,10470.82,450938.23,19995.42
8.0288,2848455.86,339587.72,1520.09,347.83,10854.46,572119.09,29273.04
8.4288,4704972.19,334472.12,1990.15,231.89,12239.01,595850.34,29333.18
8.8288,4561794.65,366319.80,2070.16,289.86,12956.36,600455.13,28391.08
9.2288,5950122.68,333653.78,1920.14,239.13,14875.05,668772.02,32240.07
9.6288,9281141.70,462790.48,2200.18,268.12,12973.04,654365.92,33122.30
10.0288,5234632.24,443920.26,1840.13,282.61,14374.50,605480.37,30515.91
10.4289,4919452.98,489125.00,1900.14,217.39,15242.14,649217.14,27669.52
10.8288,4013365.36,341327.42,1820.13,217.39,13139.88,577185.84,26948.01
11.2289,4428026.57,317194.46,1890.14,260.87,13039.78,553696.53,25465.01
11.6289,4959796.92,384167.99,2100.17,318.84,13356.76,666930.91,27789.78
12.0289,4787497.27,390738.26,1920.14,311.60,11922.05,590096.58,24062.33
12.4289,4581979.04,337132.01,1830.13,239.13,14758.25,613807.62,26927.96
12.8289,4182561.63,339485.38,1780.12,239.13,13857.28,586959.23,28671.70
13.2289,5712478.26,351565.11,1790.12,311.60,15876.22,664984.91,27609.39
13.6289,6810900.96,374420.63,1780.12,326.09,13940.70,616689.26,27890.00
14.0289,3238786.56,311780.15,1540.09,188.41,11972.10,573842.63,26186.44
14.4289,7457397.06,332835.50,2050.16,224.64,12589.34,580686.72,26246.56
14.8289,4207214.88,431765.23,1930.14,311.60,12589.34,655521.97,28190.64
15.2289,3819019.30,339485.38,1820.13,239.13,11404.93,556095.75,25525.13
15.6289,3855018.50,314333.81,1840.13,311.60,14758.25,551089.11,26727.55
16.0289,4742163.09,383244.29,1980.15,289.86,11855.33,572954.74,28892.19
16.4289,3636118.50,347059.67,1850.13,318.84,12689.43,563348.24,25545.17
16.8290,3742700.98,341736.79,2200.18,347.83,12639.39,559434.52,28411.13
17.2290,3576930.84,384886.45,1670.11,297.10,12072.19,520568.95,26587.26
17.6290,4463082.35,330994.51,1670.11,304.35,12272.37,627278.32,24663.46
18.0290,4433860.92,307797.31,2000.15,297.10,11454.97,517708.01,21778.29
18.4290,3542172.98,348493.07,1740.11,282.61,12088.87,566897.66,26266.61
18.8290,4493172.72,310350.29,1410.08,246.38,11271.48,573424.76,23521.34
19.2290,3677356.21,326699.78,1650.10,224.64,12672.75,572066.85,26426.93
19.6290,3743445.79,386528.83,2040.16,275.37,11705.19,526448.78,23060.51
20.0290,3607964.64,302998.90,1780.12,188.41,11922.05,564757.42,26587.26
20.4290,4419684.68,301263.70,1840.13,246.38,11338.20,498373.97,24443.04
20.8290,4256397.25,292386.67,1980.15,304.35,11655.15,515939.75,25144.38
21.2290,4464000.95,303917.63,1660.10,333.34,13123.19,521869.58,23701.67
21.6290,3272476.86,271490.58,1700.11,326.09,11638.47,508713.13,25485.05
22.0290,2889345.99,305142.70,1670.11,210.15,11071.31,482802.54,22339.25
22.4291,3540733.01,294834.99,1450.08,231.89,11288.16,501178.76,25384.85
22.8291,3949336.43,320157.81,1250.06,231.89,11588.42,526552.88,24423.01
23.2291,4592257.43,355969.51,1600.10,195.65,11738.55,561939.16,24964.03
23.6291,4265161.19,314435.96,1680.11,166.67,11371.57,524887.50,20776.65
24.0291,3104050.22,274648.56,1630.10,166.67,11404.93,523534.52,22820.09
24.4291,4113741.08,292182.67,1620.10,260.87,10103.87,502113.87,21557.92
24.8291,3952365.32,301059.57,1270.06,210.15,10787.74,538476.71,23681.63
25.2291,5546161.93,319238.09,1390.07,137.68,10470.82,521193.21,22178.97
25.6291,3641704.58,357813.57,1400.07,210.15,9870.36,533685.06,23481.26
26.0291,5520391.46,307184.67,1560.09,311.60,11238.12,460567.14,22419.38
26.4291,5701777.81,381704.91,1540.09,195.65,10721.02,447264.50,22759.98
26.8291,2916010.23,294324.88,1300.06,217.39,10003.79,484047.56,22719.91
27.2291,3371189.16,288816.94,1360.07,144.93,9069.78,471498.73,21978.63
27.6291,3411905.51,325779.64,1510.09,260.87,9503.42,466420.36,22699.88
28.0292,3853379.92,286267.68,1610.10,210.15,9286.60,450627.69,21337.56
28.4292,3251224.91,257135.23,1640.10,144.93,11538.38,473416.60,19795.11
28.8292,3300878.99,286879.47,1240.06,224.64,10320.70,444678.03,20115.61
29.2292,4121437.46,270879.42,1140.05,217.39,8986.39,475490.28,19895.27
29.6292,3067231.72,300651.32,1460.08,195.65,9553.46,452387.26,20075.55


          Printed:2026-02-17 18:17:25
