D:\Data_Here\Pieter_Vermeesch\20250603_Yamirka.b\DUR #06.d
Intensity Vs Time,CPS
Acquired      : 2025-06-04 15:32:27 using Batch 20250603_Yamirka.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4290,22817.60,2400.20,30.00,21.74,50.00,0.00,20.00
0.8290,17810.72,500.01,20.00,28.99,66.67,50.00,20.00
1.2290,22216.68,700.02,10.00,7.25,50.00,100.00,0.00
1.6290,20414.09,1900.12,10.00,0.00,66.67,50.00,0.00
2.0290,17410.25,1500.08,10.00,21.74,50.00,0.00,0.00
2.4290,18411.46,900.03,30.00,36.23,33.33,50.00,0.00
2.8290,18811.96,700.02,20.00,21.74,16.67,50.00,0.00
3.2290,17810.72,700.02,30.00,7.25,50.00,0.00,0.00
3.6291,16809.55,700.02,10.00,36.23,150.00,0.00,0.00
4.0291,19412.74,100.00,30.00,14.49,50.00,0.00,0.00
4.4291,17410.25,500.01,20.00,21.74,83.33,0.00,0.00
4.8291,19212.48,400.01,20.00,7.25,66.67,0.00,20.00
5.2291,18010.97,600.01,0.00,50.72,66.67,0.00,0.00
5.6291,22617.29,800.02,40.00,14.49,100.00,0.00,20.00
6.0291,15007.62,600.01,50.00,7.25,0.00,0.00,0.00
6.4291,18211.21,200.00,20.00,36.23,233.34,15309.01,1300.07
6.8291,1856946.88,157137.59,1420.08,1318.91,4000.61,128077.88,6901.84
7.2291,3089978.41,327415.50,1170.05,855.10,2233.52,238009.18,11605.20
7.6291,9023918.01,528662.40,480.01,326.09,583.35,307443.21,14107.68
8.0291,6262242.80,566226.66,220.00,202.90,716.69,300483.28,14367.97
8.4291,6821685.52,603781.45,190.00,72.46,616.68,243815.31,12986.51
8.8291,5463151.74,491502.59,120.00,65.22,483.34,309593.33,15509.28
9.2291,9576762.57,697925.34,100.00,86.96,433.34,278348.58,15008.69
9.6292,6059100.90,596908.45,140.00,72.46,516.68,301967.09,16089.99
10.0292,8288948.87,636210.50,120.00,43.48,433.34,264514.16,13326.85
10.4292,21359553.48,535607.81,120.00,79.71,533.34,294191.80,15749.57
10.8292,12545299.11,758526.76,100.00,28.99,500.01,238161.94,12806.33
11.2292,5657555.54,493363.57,130.00,28.99,416.67,282179.86,13587.12
11.6292,10438676.29,625462.55,110.00,57.97,450.01,288772.29,15569.35
12.0292,6681646.51,759263.43,60.00,21.74,566.68,239842.43,12826.35
12.4292,8913252.29,531564.55,110.00,36.23,550.01,273752.51,14708.35
12.8292,12954028.57,562798.39,200.00,50.72,400.01,298232.32,14848.51
13.2292,7929081.48,642683.84,100.00,36.23,550.01,279880.96,15228.95
13.6292,9569986.07,502051.12,160.00,115.94,266.67,249471.12,13426.96
14.0292,5254914.73,718693.41,70.00,65.22,400.01,254313.60,14528.14
14.4292,6726712.73,640699.76,60.00,50.72,450.01,257831.91,14608.23
14.8292,8841920.80,474867.63,130.00,28.99,483.34,265738.77,14287.88
15.2293,8911163.30,552103.08,110.00,36.23,516.68,274569.46,11865.43
15.6293,10226617.95,462480.96,110.00,50.72,516.68,264463.13,13306.83
16.0293,6656680.49,546083.79,100.00,21.74,683.35,254211.65,12486.02
16.4293,6495980.82,565291.60,90.00,14.49,450.01,278450.73,14768.41
16.8293,6462021.93,601385.94,70.00,57.97,416.67,265381.57,12105.65
17.2293,4699853.80,421060.60,100.00,43.48,366.67,224827.61,13066.59
17.6293,5822280.34,563006.15,120.00,36.23,366.67,230627.91,12265.80
18.0293,5323316.54,508673.63,80.00,43.48,266.67,228185.38,12425.96
18.4293,7629489.21,433618.75,90.00,43.48,483.34,248044.19,14087.66
18.8293,6181408.93,499775.29,120.00,65.22,533.34,230373.44,11585.18
19.2293,6696371.37,470118.21,100.00,57.97,333.34,222081.01,11044.71
19.6293,11742717.90,479721.88,80.00,28.99,366.67,243458.72,11845.41
20.0293,7322279.75,439901.81,80.00,72.46,533.34,231849.34,11745.32
20.4293,5319265.93,565187.74,120.00,65.22,433.34,239435.01,12445.98
20.8293,9378690.29,422706.98,70.00,36.23,500.01,237652.73,11645.23
21.2294,6003818.99,519234.33,60.00,36.23,283.34,245343.65,11565.16
21.6294,5880797.64,488918.31,90.00,28.99,433.34,229101.27,12506.04
22.0294,4960876.12,535504.10,110.00,28.99,350.00,241675.90,12065.62
22.4294,6011843.78,595659.13,50.00,43.48,433.34,226150.24,12365.90
22.8294,5912769.43,531875.54,90.00,50.72,550.01,221725.00,12706.23
23.2294,14027873.26,496775.93,130.00,43.48,400.01,238722.07,12706.23
23.6294,11484752.65,558436.28,70.00,28.99,500.01,222996.48,12706.23
24.0294,5046397.49,460623.88,140.00,43.48,416.67,239282.23,12405.94
24.4294,5954167.17,462480.96,140.00,36.23,366.67,224522.41,10784.49
24.8294,4888372.75,455053.91,100.00,65.22,483.34,205359.42,12065.62
25.2294,4246796.92,435266.55,100.00,28.99,400.01,224929.35,9903.78
25.6294,4412871.92,426823.68,110.00,43.48,450.01,224929.35,12385.92
26.0294,6630848.29,521202.34,80.00,36.23,433.34,222843.90,10083.92
26.4294,4819104.78,426514.89,70.00,50.72,283.34,238212.87,11224.86
26.8295,12703374.80,416328.27,100.00,7.25,333.34,211608.47,9963.83
27.2295,4500405.85,367652.54,110.00,28.99,366.67,224471.53,11344.97
27.6295,5544698.92,406559.81,60.00,79.71,350.00,223912.01,11304.93
28.0295,7298663.93,413654.15,80.00,21.74,383.34,221165.58,13246.77
28.4295,6934338.33,598886.72,70.00,43.48,400.01,212675.68,10924.60
28.8295,9893805.58,413962.70,80.00,50.72,466.67,228643.31,9423.43
29.2295,4325822.02,391148.95,100.00,21.74,300.00,229915.45,11605.20
29.6295,5682343.23,528973.34,70.00,21.74,516.68,229559.23,12205.75


          Printed:2025-06-04 15:33:01
