D:\Data_Here\Pieter_Vermeesch\20250603_Yamirka.b\GLASS_612 #03.d
Intensity Vs Time,CPS
Acquired      : 2025-06-04 11:51:37 using Batch 20250603_Yamirka.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4346,12805.55,600.01,70.00,21.74,183.33,0.00,20.00
0.8346,12205.04,700.02,40.00,7.25,150.00,0.00,0.00
1.2346,9603.12,500.01,50.00,86.96,133.33,0.00,0.00
1.6346,13205.90,900.03,50.00,0.00,50.00,0.00,0.00
2.0346,13205.90,200.00,60.00,14.49,83.33,0.00,0.00
2.4346,12805.55,1100.04,40.00,36.23,33.33,50.00,0.00
2.8346,12605.37,800.02,40.00,21.74,66.67,0.00,0.00
3.2346,14407.02,600.01,60.00,43.48,116.67,0.00,0.00
3.6346,13406.08,700.02,50.00,57.97,83.33,0.00,0.00
4.0346,13406.08,600.01,60.00,7.25,100.00,0.00,0.00
4.4346,11404.40,900.03,20.00,28.99,100.00,0.00,0.00
4.8346,8602.50,900.03,60.00,14.49,33.33,0.00,0.00
5.2346,12405.20,500.01,70.00,43.48,133.33,0.00,0.00
5.6346,13606.26,600.01,40.00,43.48,133.33,0.00,0.00
6.0347,11004.09,600.01,10.00,14.49,116.67,0.00,0.00
6.4347,12405.20,600.01,40.00,36.23,133.33,450.01,840.03
6.8347,10403.66,7001.67,3070.36,5182.18,15041.91,30385.47,29273.04
7.2347,19613.00,74991.30,8702.87,7886.41,22235.39,42067.96,43673.51
7.6347,18611.71,124930.00,10063.83,9771.73,23654.53,48891.77,49735.30
8.0347,12805.55,124224.04,11545.05,11113.37,25608.17,45680.12,47406.60
8.4347,16208.88,116964.70,11505.01,12346.35,28397.20,56723.49,56261.93
8.8347,12405.20,153499.35,13216.61,12237.56,31404.01,59736.94,58953.86
9.2347,17410.25,158047.29,14718.20,12114.25,28731.26,56572.84,56703.85
9.6347,14807.41,134413.33,15008.52,12426.14,32205.94,54965.97,57105.61
10.0347,17009.78,155621.55,14357.80,12534.94,30685.65,56673.27,56764.11
10.4347,17410.25,127955.93,13046.44,12252.06,28647.75,53108.26,55820.02
10.8347,15408.03,134917.93,13597.00,12418.88,28948.40,51351.23,48028.88
11.2347,16809.55,121299.71,11865.33,11301.94,27512.00,45429.24,51441.95
11.6347,17810.72,144407.68,13376.77,12745.28,29115.44,48540.46,52004.19
12.0348,13806.45,122812.22,13757.16,10794.27,26743.75,47988.42,51502.19
12.4348,13806.45,117267.10,14117.54,11874.91,27912.84,45429.24,49976.23
12.8348,16809.55,119384.08,12746.15,11896.66,28230.18,50347.31,46623.76
13.2348,15808.45,107794.81,11855.32,10388.15,23955.07,45278.72,46001.54
13.6348,16409.10,110716.47,12626.03,10540.44,26977.56,40011.48,46302.61
14.0348,13806.45,103262.37,11655.14,11265.68,24422.59,45780.47,44135.06
14.4348,19012.22,103463.78,10324.03,10359.14,24172.13,41315.55,42349.12
14.8348,18211.21,119182.45,11845.31,9953.03,23587.74,44726.82,43111.63
15.2348,15207.82,102859.56,10744.37,10076.31,23070.16,41165.08,40382.85
15.6348,17410.25,102154.64,11374.90,10127.07,24355.80,39209.05,41566.59
16.0348,14807.41,98731.32,10284.00,9561.43,21350.60,36100.06,37654.66
16.4348,15608.24,106988.94,11775.25,9445.41,21617.70,35548.54,36772.12
16.8348,14607.21,89975.24,9163.18,8814.54,24205.52,43021.07,41747.17
17.2348,9202.86,112026.35,10584.24,9662.96,22352.26,36451.03,37474.13
17.6349,18411.46,88063.68,9613.50,8713.02,20215.48,38206.06,38697.72
18.0349,12405.20,89774.01,10764.39,8807.29,20399.10,38456.80,35709.16
18.4349,17210.01,89069.73,9893.71,8858.04,22285.48,35849.37,32681.18
18.8349,16008.66,92289.56,9483.40,8459.23,20515.94,33994.39,34144.95
19.2349,17810.72,76499.05,9623.51,8147.44,20315.63,33793.87,32240.07
19.6349,15007.62,70468.95,8882.99,8604.25,21484.15,35698.95,35348.17
20.0349,16208.88,78006.96,8682.85,7726.90,19981.79,36300.62,34626.22
