D:\Data_Here\Pieter_Vermeesch\20250603_Yamirka.b\MAD #14.d
Intensity Vs Time,CPS
Acquired      : 2025-06-04 14:21:39 using Batch 20250603_Yamirka.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4333,17210.01,400.01,40.00,50.72,66.67,0.00,0.00
0.8333,18211.21,500.01,30.00,43.48,66.67,0.00,20.00
1.2333,18411.46,900.03,10.00,14.49,83.33,0.00,0.00
1.6334,17210.01,700.02,30.00,14.49,33.33,0.00,0.00
2.0334,17009.78,700.02,40.00,28.99,50.00,0.00,20.00
2.4334,18010.97,700.02,40.00,7.25,33.33,0.00,0.00
2.8334,17810.72,600.01,10.00,14.49,16.67,0.00,20.00
3.2334,20614.36,600.01,0.00,50.72,100.00,50.00,40.00
3.6334,18211.21,700.02,0.00,14.49,50.00,0.00,0.00
4.0334,19813.27,800.02,20.00,28.99,83.33,0.00,0.00
4.4334,17610.48,500.01,20.00,7.25,0.00,0.00,0.00
4.8334,20614.36,800.02,20.00,21.74,50.00,0.00,0.00
5.2334,23418.54,600.01,0.00,7.25,83.33,0.00,0.00
5.6334,19012.22,200.00,40.00,14.49,33.33,0.00,20.00
6.0334,19613.00,1200.05,10.00,14.49,16.67,0.00,0.00
6.4334,18811.96,900.03,10.00,14.49,50.00,0.00,0.00
6.8334,20814.65,600.01,450.01,1652.28,9803.64,314509.28,13026.55
7.2334,2699231.64,287899.17,3210.39,942.06,14941.79,669508.50,29633.86
7.6335,4967423.33,575892.43,2260.19,471.02,15125.33,793501.61,31839.08
8.0335,5701195.12,577971.92,2670.27,442.04,16910.83,902798.14,35909.71
8.4335,5780143.80,628905.22,2360.21,282.61,15709.35,832426.37,30756.47
8.8335,5512243.09,571110.74,2100.17,340.58,16910.83,793289.21,32099.73
9.2335,6513329.66,555113.57,2170.18,304.35,17895.47,846385.94,36070.15
9.6335,8014679.28,605552.29,2440.23,391.31,16877.46,855451.46,34886.92
10.0335,11284871.61,635792.97,2590.25,340.58,16894.15,802584.62,31077.24
