D:\Data_Here\Pieter_Vermeesch\20250603_Yamirka.b\Yamirka_10B #38.d
Intensity Vs Time,CPS
Acquired      : 2025-06-04 14:47:00 using Batch 20250603_Yamirka.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4286,19813.27,500.01,50.00,7.25,100.00,0.00,0.00
0.8286,22016.38,1200.05,10.00,7.25,33.33,0.00,0.00
1.2287,21014.93,800.02,30.00,7.25,50.00,0.00,20.00
1.6287,24420.16,600.01,20.00,14.49,50.00,0.00,20.00
2.0287,19813.27,800.02,30.00,14.49,16.67,0.00,0.00
2.4287,22817.60,500.01,40.00,50.72,33.33,0.00,0.00
2.8287,23017.91,1100.04,40.00,14.49,66.67,0.00,0.00
3.2287,20013.54,600.01,10.00,28.99,50.00,0.00,0.00
3.6287,21014.93,800.02,40.00,14.49,66.67,0.00,20.00
4.0287,29629.67,400.01,0.00,28.99,50.00,0.00,20.00
4.4287,21615.79,300.00,30.00,21.74,50.00,0.00,0.00
4.8287,18211.21,500.01,30.00,28.99,16.67,0.00,20.00
5.2287,24620.49,800.02,10.00,14.49,66.67,50.00,0.00
5.6287,21215.21,200.00,10.00,14.49,0.00,0.00,0.00
6.0287,24420.16,800.02,20.00,28.99,33.33,0.00,20.00
6.4288,21014.93,900.03,10.00,14.49,33.33,0.00,0.00
6.8288,19412.74,600.01,1050.04,2550.97,8469.39,750.02,720.02
7.2288,2613237.11,221358.52,3530.47,1978.41,3983.94,3650.51,1620.10
7.6288,8127739.69,473421.97,890.03,739.15,1116.71,4600.81,2240.19
8.0288,7769655.59,633079.20,520.01,434.79,766.69,5000.96,2640.27
8.4288,5558939.75,476829.79,320.00,282.61,683.35,4100.65,1800.13
8.8288,6588329.63,480754.88,350.00,260.87,666.68,4300.71,2280.20
9.2288,7692057.12,474867.63,260.00,202.90,583.35,4650.83,2180.18
9.6288,7569086.72,471769.97,310.00,166.67,433.34,3950.60,2220.19
10.0288,6932809.79,544942.48,160.00,181.16,500.01,3800.56,2380.22
10.4288,6308582.80,578803.76,320.00,195.65,433.34,4200.68,1920.14
10.8288,4901263.37,491605.96,250.00,188.41,400.01,3850.57,2340.21
11.2288,5907597.90,578387.84,240.00,123.19,533.34,4450.76,2400.22
11.6288,5269282.93,483234.47,210.00,144.93,500.01,3250.41,1640.10
12.0288,5781290.20,484267.72,310.00,181.16,350.00,3600.50,1980.15
12.4288,5338703.76,492433.06,230.00,101.45,500.01,4050.63,2120.17
12.8289,7545267.09,517577.25,280.00,173.91,333.34,4150.66,1520.09
13.2289,6389085.48,505982.86,170.00,101.45,633.35,3750.54,1700.11
13.6289,5068051.69,444744.73,280.00,166.67,566.68,3250.41,2020.16
14.0289,4745684.29,448042.87,220.00,137.68,316.67,3700.53,1900.14
14.4289,5347925.90,512400.10,180.00,94.20,416.67,3950.60,2060.16
14.8289,4975957.64,458251.22,220.00,152.17,483.34,3150.38,2120.17
15.2289,4989332.29,455775.83,270.00,195.65,616.68,3850.57,2300.20
