D:\Data_Here\Pieter_Vermeesch\20250603_Yamirka.b\Yamirka_34 #20.d
Intensity Vs Time,CPS
Acquired      : 2025-06-04 12:24:49 using Batch 20250603_Yamirka.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4341,41859.19,400.01,50.00,28.99,116.67,0.00,0.00
0.8341,29429.27,800.02,30.00,36.23,33.33,0.00,60.00
1.2342,26223.24,1000.03,60.00,28.99,83.33,0.00,0.00
1.6342,32836.43,1100.04,10.00,43.48,100.00,50.00,0.00
2.0342,30431.29,600.01,40.00,36.23,83.33,0.00,0.00
2.4342,29629.67,400.01,0.00,14.49,33.33,0.00,0.00
2.8342,27225.05,1000.03,70.00,43.48,83.33,50.00,0.00
3.2342,29629.67,1100.04,10.00,14.49,100.00,0.00,0.00
3.6342,24420.16,500.01,30.00,7.25,50.00,0.00,0.00
4.0342,26824.32,1100.04,30.00,43.48,83.33,0.00,0.00
4.4342,29830.07,600.01,20.00,21.74,66.67,0.00,0.00
4.8342,27826.17,600.01,30.00,21.74,16.67,0.00,0.00
5.2342,27826.17,500.01,10.00,57.97,33.33,0.00,0.00
5.6342,27826.17,700.02,30.00,36.23,50.00,0.00,0.00
6.0342,27225.05,1000.03,50.00,57.97,66.67,0.00,0.00
6.4342,25021.16,700.02,20.00,28.99,416.67,50.00,0.00
6.8343,35442.44,9803.28,3730.53,4486.27,9353.32,3050.36,1460.08
7.2343,2643828.71,335085.89,2680.27,1565.31,2716.95,4300.71,2540.25
7.6343,5379057.00,460520.70,850.03,536.24,1266.73,3450.46,2460.23
8.0343,4603887.47,443714.16,600.01,413.05,766.69,5000.96,2760.29
8.4343,6120089.32,535089.40,360.00,311.60,966.70,5151.02,2700.28
8.8343,7172585.51,573293.51,240.00,289.86,916.70,4900.92,3560.49
9.2343,6785051.70,568304.79,410.01,224.64,1133.38,5401.12,2580.26
9.6343,6799776.56,608990.38,370.01,282.61,700.02,5801.29,3180.39
10.0343,6649369.01,606073.19,270.00,260.87,666.68,5101.00,3120.38
