D:\Data_Here\Pieter_Vermeesch\20250603_Yamirka.b\Yamirka_44C #47.d
Intensity Vs Time,CPS
Acquired      : 2025-06-04 13:08:16 using Batch 20250603_Yamirka.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4288,25622.19,800.02,40.00,21.74,50.00,0.00,0.00
0.8288,17410.25,1600.09,20.00,43.48,33.33,0.00,0.00
1.2288,21014.93,800.02,10.00,28.99,83.33,0.00,40.00
1.6288,17810.72,900.03,40.00,7.25,83.33,0.00,0.00
2.0288,19613.00,600.01,40.00,28.99,100.00,0.00,0.00
2.4289,21014.93,800.02,10.00,43.48,83.33,0.00,0.00
2.8289,16609.33,900.03,50.00,43.48,50.00,0.00,0.00
3.2289,16008.66,1500.08,40.00,50.72,83.33,0.00,20.00
3.6289,18211.21,200.00,20.00,14.49,83.33,0.00,0.00
4.0289,18010.97,900.03,90.00,57.97,16.67,0.00,0.00
4.4289,18811.96,700.02,80.00,36.23,50.00,0.00,0.00
4.8289,15808.45,400.01,40.00,50.72,0.00,0.00,0.00
5.2289,17810.72,500.01,50.00,21.74,33.33,50.00,0.00
5.6289,16609.33,900.03,20.00,21.74,66.67,0.00,20.00
6.0289,20814.65,500.01,10.00,28.99,66.67,0.00,0.00
6.4289,20213.81,800.02,30.00,14.49,100.00,0.00,20.00
6.8289,270859.08,18711.93,2470.23,2688.68,7068.56,1600.10,1340.07
7.2289,4185220.70,361502.42,1880.13,1072.51,1683.44,4000.62,2440.23
7.6289,5686444.79,495638.38,530.01,427.54,850.03,3350.43,2260.20
8.0290,5435306.98,490055.32,420.01,333.34,833.36,3500.47,2140.18
8.4290,4865088.11,479411.96,340.00,275.37,533.34,3950.60,2240.19
8.8290,6194860.01,520062.89,300.00,195.65,683.35,5151.02,2860.32
9.2290,7172738.37,528558.79,290.00,210.15,400.01,4500.78,2200.19
9.6290,6355381.35,535400.44,300.00,210.15,550.01,4000.62,2500.24
10.0290,6080576.77,552103.08,250.00,217.39,366.67,3850.57,2220.19
10.4290,6651330.62,561551.95,310.00,217.39,516.68,5801.29,2280.20
10.8290,6738329.57,566330.57,330.00,217.39,516.68,4550.80,2760.29
11.2290,6913066.25,544112.50,360.00,123.19,516.68,4900.92,2300.20
11.6290,6368756.01,547225.20,280.00,195.65,633.35,4450.76,2760.29
12.0290,7024954.80,583275.88,290.00,231.89,466.67,3950.60,2440.23
12.4290,6510247.12,597845.51,250.00,166.67,416.67,4250.70,2160.18
12.8290,5777010.31,527004.30,150.00,137.68,350.00,3600.50,2420.23
13.2290,7643908.36,632035.60,320.00,173.91,700.02,4450.76,2200.19
13.6291,5597331.37,534985.69,160.00,130.44,433.34,3950.60,2580.26
14.0291,6326644.95,584524.17,310.00,195.65,416.67,5551.19,2700.28
14.4291,6338669.40,551376.46,240.00,188.41,383.34,4850.90,2500.24
14.8291,6408752.59,536748.39,260.00,195.65,533.34,5301.08,2980.34
15.2291,8798561.44,714180.76,310.00,202.90,466.67,4250.70,2220.19
15.6291,6844180.41,566226.66,190.00,202.90,350.00,5351.10,2860.32
16.0291,6782886.28,545876.27,310.00,188.41,433.34,4000.62,2600.26
16.4291,7086962.25,503189.16,310.00,173.91,466.67,5351.10,2500.24
16.8291,6092473.84,568304.79,150.00,188.41,483.34,4900.92,2680.28
17.2291,6086538.04,521202.34,250.00,181.16,416.67,4100.65,2340.21
17.6291,6011334.27,434133.64,270.00,188.41,450.01,3850.57,2240.19
18.0291,5741293.61,468569.78,260.00,94.20,516.68,3400.44,2080.17
18.4291,7624470.53,501533.89,340.00,101.45,333.34,3100.37,2280.20
18.8291,5097705.21,486644.48,200.00,181.16,350.00,4000.62,2460.23
19.2291,5739765.08,488608.20,240.00,173.91,533.34,4050.63,2700.28
19.6292,6328428.24,534363.62,270.00,217.39,483.34,4100.65,1960.15
20.0292,5423206.10,533948.88,200.00,217.39,516.68,4550.80,2600.26
20.4292,5620106.50,492846.58,230.00,188.41,283.34,3850.57,2380.22
20.8292,5446949.30,562694.53,260.00,94.20,550.01,3700.53,2780.30
21.2292,5800626.13,496465.67,230.00,115.94,483.34,3850.57,1900.14
21.6292,6271363.04,446393.70,270.00,181.16,466.67,3900.59,2220.19
22.0292,4855865.97,487988.09,200.00,130.44,466.67,3950.60,2400.22
22.4292,5660892.83,446084.47,300.00,224.64,316.67,4450.76,2640.27
22.8292,5193314.89,416842.58,250.00,159.42,350.00,3350.43,2140.18
23.2292,6081595.79,426000.24,200.00,195.65,316.67,4300.71,1960.15
23.6292,5440707.79,450516.99,250.00,173.91,416.67,3900.59,2060.16
24.0292,5011419.58,428985.40,210.00,144.93,450.01,3500.47,1920.14
24.4292,4991166.53,464647.90,290.00,130.44,483.34,3550.48,2000.15
24.8292,4381384.16,410980.52,230.00,188.41,466.67,3300.42,1980.15
25.2293,4825499.13,419208.64,200.00,202.90,416.67,4250.70,2000.15
25.6293,4950201.87,431971.19,130.00,188.41,516.68,4200.68,1860.13
26.0293,4706171.74,421472.17,280.00,101.45,566.68,3950.60,1960.15
26.4293,4807819.11,473008.98,190.00,181.16,633.35,3400.44,1760.12
26.8293,4732768.19,416636.87,190.00,152.17,366.67,3050.36,2200.19
27.2293,4673792.33,428573.63,310.00,144.93,366.67,3850.57,2120.17
27.6293,5061988.51,450620.07,230.00,137.68,416.67,3750.54,1840.13
28.0293,4342253.74,409746.68,190.00,152.17,366.67,3750.54,2020.16
