D:\Data_Here\Pieter_Vermeesch\20250603_Yamirka.b\Yamirka_47A #03.d
Intensity Vs Time,CPS
Acquired      : 2025-06-04 11:59:20 using Batch 20250603_Yamirka.b
Time [Sec],P31,Ca43,Pb206,Pb207,Pb208,Th232,U238
0.4286,29028.48,200.00,20.00,36.23,166.67,50.00,0.00
0.8286,29830.07,1200.05,50.00,43.48,116.67,0.00,0.00
1.2286,29830.07,900.03,50.00,36.23,33.33,0.00,0.00
1.6286,25421.84,700.02,50.00,43.48,116.67,0.00,0.00
2.0286,28226.93,800.02,40.00,21.74,83.33,0.00,0.00
2.4286,23418.54,600.01,20.00,43.48,66.67,50.00,0.00
2.8286,25421.84,800.02,20.00,43.48,100.00,0.00,0.00
3.2286,27225.05,400.01,50.00,50.72,116.67,0.00,0.00
3.6286,22817.60,500.01,30.00,21.74,66.67,0.00,0.00
4.0286,25622.19,500.01,50.00,28.99,83.33,0.00,0.00
4.4286,27425.42,500.01,30.00,14.49,66.67,0.00,0.00
4.8287,27225.05,400.01,70.00,65.22,50.00,0.00,0.00
5.2287,25421.84,600.01,30.00,21.74,50.00,0.00,0.00
5.6287,24019.50,400.01,40.00,36.23,33.33,0.00,40.00
6.0287,27425.42,400.01,50.00,43.48,66.67,0.00,0.00
6.4287,22416.98,500.01,30.00,21.74,216.67,50.00,20.00
6.8287,153795.95,8702.58,3170.38,4181.82,8852.97,500.01,1280.06
7.2287,3706796.48,384886.45,2240.19,1347.89,2416.89,2650.27,2040.16
7.6287,6778682.82,787074.02,770.02,514.50,1083.38,2550.25,2100.17
8.0287,8181620.45,829626.56,390.01,224.64,783.36,2700.28,2220.19
8.4287,9670538.00,795722.61,460.01,405.80,716.69,2150.18,2280.20
8.8287,14319364.31,672790.33,310.00,231.89,550.01,2950.33,2440.23
9.2287,6943050.96,825503.22,260.00,123.19,550.01,2250.19,2660.27
9.6287,8019723.43,724362.45,220.00,217.39,500.01,2300.20,2300.20
10.0287,9284532.72,667454.54,180.00,144.93,400.01,2600.26,2460.23
10.4288,7275965.23,605448.10,240.00,181.16,383.34,2700.28,2480.24
10.8288,8388023.22,756106.45,140.00,173.91,400.01,2550.25,2580.26
11.2288,7387624.49,804587.30,230.00,231.89,416.67,2550.25,2480.24
11.6288,8675132.48,711452.78,260.00,159.42,366.67,2850.31,2640.27
12.0288,12584098.35,608781.98,240.00,181.16,533.34,1900.14,2160.18
12.4288,6071966.04,687971.00,230.00,123.19,450.01,2350.21,2960.34
12.8288,6410153.75,637254.39,270.00,144.93,316.67,1850.13,2320.21
13.2288,6727859.13,514367.19,240.00,130.44,500.01,2850.31,2460.23
13.6288,8591012.27,584108.06,140.00,79.71,450.01,2100.17,2360.21
14.0288,5603394.55,656788.72,240.00,173.91,433.34,1750.12,2340.21
14.4288,7941768.30,528144.24,170.00,181.16,216.67,2450.23,2000.15
14.8288,6205610.69,692371.04,230.00,130.44,383.34,2500.24,1920.14
15.2288,6615027.99,620560.69,190.00,159.42,433.34,2350.21,2000.15
15.6288,13116689.85,672057.86,240.00,65.22,300.00,2550.25,2140.18
16.0289,6849377.42,501327.00,200.00,159.42,466.67,2500.24,2500.24
16.4289,7648392.05,646026.03,150.00,152.17,300.00,2800.30,2000.15
16.8289,6729922.64,575060.74,210.00,181.16,316.67,1600.10,2300.20
17.2289,5993068.31,567161.82,220.00,188.41,466.67,2450.23,2180.18
17.6289,7341411.88,618788.09,190.00,188.41,416.67,2000.15,1960.15
18.0289,6832716.42,581195.65,230.00,166.67,433.34,2900.32,1920.14
18.4289,5952154.61,572461.96,130.00,239.13,383.34,2350.21,1740.12
18.8289,6642439.66,538096.48,320.00,137.68,416.67,2600.26,2740.29
19.2289,6257886.48,588789.84,170.00,115.94,450.01,2450.23,2000.15
19.6289,6911079.16,591703.71,210.00,166.67,450.01,2750.29,2060.16
20.0289,5878937.92,544838.77,310.00,152.17,266.67,3100.37,2000.15
20.4289,6418051.16,601594.24,160.00,166.67,350.00,2450.23,1880.14
20.8289,7761350.57,496052.05,250.00,195.65,366.67,2450.23,2140.18
21.2289,6279260.46,579219.73,190.00,159.42,366.67,3100.37,1940.15
21.6290,6526678.84,545357.52,240.00,137.68,283.34,2450.23,2060.16
22.0290,6944273.78,504223.83,190.00,173.91,300.00,2150.18,2440.23
22.4290,5125397.12,537266.85,170.00,159.42,300.00,3050.36,2580.26
22.8290,5996405.61,552310.64,230.00,181.16,350.00,2500.24,1800.13
23.2290,5362396.00,574540.92,210.00,152.17,300.00,1950.15,2360.21
23.6290,5019342.47,480135.06,260.00,181.16,233.34,2850.31,2480.24
24.0290,5717881.60,485197.71,230.00,195.65,316.67,2750.29,2360.21
24.4290,5233286.00,467331.20,200.00,144.93,366.67,2200.19,2180.18
24.8290,5727995.39,470324.66,250.00,123.19,366.67,2700.28,1780.12
25.2290,5407334.85,466402.29,180.00,166.67,416.67,2200.19,1820.13
25.6290,4881188.65,560097.85,190.00,130.44,400.01,1900.14,2220.19
26.0290,5849258.93,462480.96,170.00,152.17,183.33,1850.13,2020.16
26.4290,5392125.95,466299.12,170.00,144.93,200.00,2450.23,2140.18
26.8290,5527375.56,423941.85,120.00,123.19,266.67,2600.26,1840.13
27.2290,5081604.67,427235.40,210.00,130.44,200.00,2200.19,1680.11
27.6291,6320352.49,478895.51,130.00,137.68,450.01,3200.39,2160.18
28.0291,5381528.13,439283.69,160.00,159.42,266.67,2350.21,2120.17
28.4291,5975184.49,505879.39,210.00,210.15,250.00,1750.12,1820.13
28.8291,4946304.11,432383.06,200.00,202.90,350.00,2200.19,2020.16
29.2291,4250083.26,458354.35,110.00,108.70,316.67,2150.18,1660.11
29.6291,4845471.95,477036.33,210.00,144.93,233.34,2200.19,1940.15


          Printed:2025-06-04 11:59:53
